ids,drift_corrected_salts
374251,34.2899320650001
374255,30.8871953071508
374260,30.6778411337487
374275,34.89790429481
374276,34.9144289926047
374277,34.9183639188474
374278,34.9278074974464
374279,34.9350872883305
374280,34.9370551189792
374281,34.9433514579358
374282,34.9464998858764
374283,34.9531900171676
374284,34.953977441027
374285,34.9636193274812
374286,34.9608649492004
374287,34.9630297809148
374288,34.9602754100698
374289,34.9484701049267
374290,34.927221857071
374291,34.9226973337985
374293,34.9213205885773
374296,34.9783018915229
374297,34.8931905289881
374298,34.9016494476205
374299,34.9040104091452
374300,34.9067648329897
374301,34.9140439229232
374302,34.9201428682858
374303,34.9223072968637
374304,34.9286032109017
374305,34.9341123320265
374306,34.9370638808839
374307,34.9453277438968
374308,34.9533951585811
374309,34.9488700937185
374310,34.9476899389916
374311,34.9524125009028
374312,35.4521617837422
374313,35.4943688727268
374314,35.4505848818972
374315,34.671425254884
374316,34.6246620777837
374317,34.622697822994
374318,34.6205371250889
374319,34.619751664498
374320,34.6205378869936
374321,34.9217239570749
374322,34.9213308742916
374323,34.934315932457
374324,34.9386447105313
374325,34.9408093221788
374326,34.9459252426614
374327,34.9535991573146
374328,34.9561182534858
374329,34.9610381953308
374330,34.9734357071071
374331,34.9645816598124
374332,35.0206692932575
374333,35.2347192103687
374334,35.6551549457845
374335,35.7491337763771
374336,35.8196444014616
374337,35.443064575165
374339,34.6399603348315
374341,34.5975259701541
374344,34.594580200666
374345,34.8933703963236
374346,34.8945514496149
374347,34.8973061843351
374348,34.9030116622111
374349,34.9041927675574
374350,34.9083246594382
374351,34.9132435257107
374352,34.9258350627524
374353,34.9323282501473
374354,34.9403956156012
374355,34.940396426412
374356,34.9459062748364
374357,34.9598770532506
374358,34.9614520008639
374359,34.9512211249958
374360,34.974440683441
374361,35.0592698986225
374362,35.5119153647672
374363,35.4131099752264
374364,34.7148492513202
374365,34.7195672113203
374368,34.7166197919331
374369,34.9575239774001
374370,34.9681503167906
374371,35.0254198073014
374372,35.2497195040112
374381,33.2984618376946
374382,34.9553636352213
374383,34.9561514967291
374384,34.9569393610695
374385,34.9598916478452
374386,34.9661890738502
374387,35.031527964532
374388,35.2782967582583
374389,35.5780219408554
374392,34.1899322285263
374397,33.089834600476
374398,34.8882860858984
374399,34.8922209710281
374400,34.88927121946
374401,34.8947797789363
374402,34.895960839664
374403,34.9022564243501
374404,34.9172080497545
374405,34.9215369188122
374406,34.9282267154673
374407,34.9416061119761
374408,34.9453452033563
374409,34.9471168009552
374410,34.9488884128948
374411,34.9565628609776
374412,34.9597119085686
374413,34.9721093422699
374414,34.9797846050978
374415,35.0106827286694
374416,35.0659947195033
374417,35.2818623825185
374418,35.4230005001947
374421,35.1544059477305
374422,34.886336913136
374423,34.8888948411799
374424,34.8924363252518
374425,34.8979449640507
374426,34.8973556437945
374427,34.9012906918185
374428,34.9097503524616
374429,34.9162430607527
374430,34.9266706558696
374431,34.9339508373071
374432,34.9357223424872
374433,34.9386743424489
374434,34.9432003873276
374435,34.9463492422939
374436,34.9548106463549
374437,34.9632723777699
374438,34.9636667277386
374439,34.9559936527082
374440,35.0969220432825
374441,35.6423938418234
374442,35.5585244608615
374445,35.4598953681322
374446,34.9367157975077
374447,34.9361263726129
374448,34.9424231131004
374449,34.9520649175778
374450,34.9554106622483
374451,34.9595435208204
374452,34.9569863880966
374453,34.959545142442
374454,34.9615136224855
374455,34.9687949633952
374456,35.0414175652705
374457,35.2852415457663
374459,35.6060912222656
374460,35.6589872932152
374464,34.3922252793844
374469,32.9173125709228
